Car, Rating, MPG, Horsepower
2019 FIAT 500c Abarth, 3.5, 27, 160
2019 FIAT 500c, 3.5, 27, 135
2018 smart fortwo electric drive cabrio, 3, 102, 80
2019 Porsche 718 Boxster, 4.6, 22, 350
2019 MAZDA MX-5 Miata, 4.6, 29, 181
2019 MAZDA MX-5 Miata RF, 4.6, 29, 181
2019 FIAT 124 Spider, 4.5, 29, 160
2019 BMW 2 Series, 4.5, 27, 248
2019 Nissan 370Z, 4.2, 21, 332
2019 Alfa Romeo 4C Spider, 3.6, 28, 237
2019 Mercedes-Benz SLC, 3.6, 27, 241
2019 Mercedes-Benz Mercedes-AMG SLC, 3.6, 23, 384
2020 Jaguar F-TYPE, 3.5, 26, 296
2019 Audi S5, 4.8, 24, 349
2019 Chevrolet Corvette, 4.8, 15, 755
2019 Audi A5, 4.8, 27, 248
2019 Mercedes-Benz C-Class, 4.7, 24, 255
2019 Mercedes-Benz Mercedes-AMG C-Class, 4.7, 20, 503
2019 Audi A3, 4.6, 29, 184
2019 BMW M4, 4.1, 19, 444
2019 BMW 4 Series, 4.1, 24, 322
2019 Buick Cascada, 4, 24, 200
2020 Mercedes-Benz E-Class, 4.7, 23, 362
2020 Ford Mustang, 4.6, 23, 310
2020 Chevrolet Camaro, 4.3, 16, 650
2019 Mercedes-Benz Mercedes-AMG E-Class, 4.7, 21, 429
