Car, Rating, MPG, Horsepower
2019 FIAT 500e, 3.5, 112, 111
2019 FIAT 500 Abarth, 3.5, 27, 160
2019 FIAT 500, 3.5, 27, 135
2018 smart fortwo electric drive, 3, 108, 80
2020 Kia Rio, 4.3, 36, 120
2020 Chevrolet Spark, 3.8, 33, 98
2019 Honda Fit, 4.6, 36, 128
2019 BMW i3, 4.5, 31, 181
2019 Chevrolet Sonic, 4.3, 29, 138
2019 Nissan Versa Note, 4.3, 34, 109
2019 Ford Fiesta, 4.2, 30, 120
2019 Toyota Prius c, 4.1, 46, 73
2019 Mitsubishi Mirage, 3, 39, 78
2020 Toyota Prius Prime, 4.7, 54, 96
2020 Honda Civic, 4.6, 32, 180
2020 MAZDA MAZDA3, 4.4, 27, 186
2020 Toyota Prius, 4.4, 52, 96
2019 Honda Civic Type R, 4.7, 25, 306
2019 Chevrolet Bolt EV, 4.7, 119, 200
2019 Hyundai Elantra GT, 4.5, 27, 161
2019 Hyundai Ioniq Electric, 4.4, 136, 118
2019 Hyundai Ioniq Plug-in Hybrid, 4.4, 52, 104
2019 Hyundai Ioniq Hybrid, 4.4, 58, 104
2019 Volkswagen Golf R, 4.1, 26, 288
2019 Volkswagen Golf GTI, 4.1, 27, 228
2019 MINI Hardtop 4 Door, 3.7, 26, 189
2019 MINI Hardtop 2 Door, 3.7, 26, 228
