Car, Rating, MPG, Horsepower
2020 Hyundai Accent, 4.3, 36, 120
2020 Kia Rio, 4.3, 36, 120
2020 Toyota Yaris, 3.5, 35, 106
2019 Chevrolet Sonic, 4.3, 31, 138
2019 Ford Fiesta, 4.2, 30, 120
2019 Nissan Versa, 3.7, 34, 109
2019 Mitsubishi Mirage G4, 3, 35, 78
2020 Honda Civic, 4.6, 33, 158
2020 Toyota Corolla, 4.6, 32, 169
2020 Toyota Corolla Hybrid, 4.6, 52, 121
2020 Kia Forte, 4.5, 31, 147
2020 Lexus IS, 4.5, 21, 311
2020 Hyundai Elantra, 4.5, 34, 147
2020 MAZDA MAZDA3, 4.4, 30, 186
2020 Acura ILX, 4.4, 28, 201
2020 Subaru WRX, 4.3, 19, 310
2020 Subaru Impreza, 4.3, 26, 152
2020 Honda Accord, 4.8, 33, 192
2020 Honda Accord Hybrid, 4.8, 48, 143
2020 Mercedes-Benz E-Class, 4.7, 26, 255
2020 Toyota Camry, 4.6, 25, 301
2020 Toyota Camry Hybrid, 4.6, 46, 176
2020 INFINITI Q50, 4.5, 23, 300
2020 Lexus GS, 4.4, 23, 311
2020 Kia Optima, 4.4, 27, 185
2020 Kia Optima Hybrid, 4.4, 42, 154
2020 Kia Optima Plug-in Hybrid, 4.4, 41, 154
2020 Nissan Maxima, 3.9, 24, 300
2020 Dodge Charger, 3.7, 23, 300
2019 Chevrolet Impala, 4.5, 22, 197
2019 Genesis G80, 4.4, 21, 311
2019 Kia Stinger, 4.4, 24, 255
2019 Kia Cadenza, 4, 23, 290
2019 Acura RLX Sport Hybrid, 4, 28, 310
2019 Chrysler 300, 4, 23, 292
2019 Acura RLX, 4, 23, 310
2019 Buick LaCrosse, 3.9, 24, 310
2019 Audi RS 5, 4.8, 20, 444
2019 Audi S5, 4.8, 24, 349
2019 Audi A5, 4.8, 27, 248
2019 Genesis G70, 4.7, 21, 365
2019 Audi A4, 4.7, 30, 188
2019 Mercedes-Benz C-Class, 4.7, 26, 255
2019 Mercedes-Benz Mercedes-AMG C-Class, 4.7, 21, 469
2019 Audi S4, 4.7, 24, 349
2020 Acura TLX, 4.3, 27, 206
2019 Mercedes-Benz Mercedes-AMG E-Class, 4.7, 18, 603
2019 BMW M5, 4.6, 17, 600
2019 BMW 5 Series, 4.6, 29, 180
2019 Cadillac CTS-V, 4.2, 16, 640
2019 Cadillac CTS, 4.2, 23, 335
2019 Volvo S90, 4.1, 25, 316
2019 Cadillac XTS, 3.8, 22, 304
2019 BMW 6 Series, 3.7, 20, 443
2019 Audi RS 3, 4.6, 22, 394
2019 Mercedes-Benz Mercedes-AMG CLA, 4.6, 26, 375
2019 Audi S3, 4.6, 25, 288
2020 Ford Fusion, 4.1, 42, 141
2019 Honda Clarity Electric, 4.7, 114, 161
2019 Honda Clarity Plug-in Hybrid, 4.7, 42, 103
2019 Honda Clarity Fuel Cell, 4.7, 68, 174
