Car, Rating, MPG, Horsepower
2020 Toyota Tacoma Double Cab, 4.3, 21, 278
2020 Toyota Tacoma Access Cab, 4.3, 20, 159
2020 Chevrolet Colorado Crew Cab, 4.1, 20, 200
2019 Honda Ridgeline, 4.3, 21, 280
2019 GMC Canyon Extended Cab, 4.2, 19, 308
2019 GMC Canyon Crew Cab, 4.2, 19, 181
2019 Nissan Frontier Crew Cab, 3.8, 18, 261
2019 Nissan Frontier King Cab, 3.8, 19, 152
2020 Ram 1500 Crew Cab, 4.5, 17, 305
2020 Ford F150 SuperCrew Cab, 4.4, 18, 250
2020 Chevrolet Silverado 1500 Crew Cab, 4.3, 20, 277
2020 Toyota Tundra CrewMax, 3.7, 14, 381
2020 Toyota Tundra Double Cab, 3.7, 14, 381
2019 Ram 1500 Quad Cab, 4.6, 17, 395
