Car, Rating, MPG, Horsepower
2020 Toyota 86, 4.6, 27, 200
2020 Subaru BRZ, 4.6, 23, 205
2020 Nissan 370Z, 4.2, 22, 350
2019 BMW 2 Series, 4.5, 22, 335
2019 Audi TT, 4.3, 26, 228
2020 Honda Civic, 4.6, 32, 158
2020 Hyundai Veloster, 4.4, 30, 201
2020 Jaguar F-TYPE, 3.5, 23, 380
2019 Audi RS 5, 4.8, 21, 444
2019 Audi S5, 4.8, 24, 349
2019 Chevrolet Corvette, 4.8, 15, 755
2019 Audi A5, 4.8, 27, 248
2019 Mercedes-Benz C-Class, 4.7, 25, 255
2019 Mercedes-Benz Mercedes-AMG C-Class, 4.7, 22, 385
2019 BMW M4, 4.1, 19, 444
2020 Mercedes-Benz E-Class, 4.7, 22, 362
2020 Ford Mustang, 4.6, 16, 526
2020 Chevrolet Camaro, 4.3, 19, 455
2019 Mercedes-Benz Mercedes-AMG E-Class, 4.7, 21, 429
2019 Dodge Challenger, 4, 23, 305
2019 BMW 4 Series, 4.1, 22, 322
2019 Cadillac ATS-V, 4, 19, 464
2019 Cadillac ATS, 4, 23, 335
