Car, Rating, MPG, Horsepower
2020 Volvo XC40, 4.7, 27, 187
2020 Subaru Crosstrek, 4.6, 25, 152
2020 Honda HR-V, 4.6, 30, 141
2020 Hyundai Kona, 4.5, 28, 147
2020 Hyundai Kona Electric, 4.5, 120, 201
2020 Toyota C-HR, 4.4, 29, 144
2020 Chevrolet Trax, 3.9, 26, 138
2020 Ford EcoSport, 3.9, 25, 166
2020 Buick Encore, 3.9, 28, 138
2020 Mitsubishi Outlander Sport, 3.1, 27, 148
2020 Honda CR-V, 4.8, 30, 190
2020 Audi Q5, 4.7, 24, 248
2020 MAZDA CX-5, 4.6, 26, 187
2020 Mercedes-Benz GLC, 4.6, 24, 255
2020 Kia Sportage, 4.4, 21, 237
2020 INFINITI QX50, 4.4, 25, 268
2020 Lexus NX, 4.4, 24, 235
2020 Chevrolet Equinox, 4.4, 28, 170
2020 BMW X3, 4.4, 27, 248
2020 Volkswagen Tiguan, 4.3, 25, 184
2020 Mercedes-Benz GLE, 4.8, 22, 255
2020 Honda Pilot, 4.7, 23, 280
2020 Hyundai Santa Fe, 4.6, 23, 235
2020 Acura MDX, 4.6, 23, 290
2020 Volvo XC90, 4.6, 21, 316
2020 Lexus RX, 4.5, 30, 308
2020 Chevrolet Traverse, 4.4, 21, 310
2020 INFINITI QX60, 4.2, 22, 295
2020 Kia Sorento, 4.1, 20, 290
2019 Mercedes-Benz GLS, 3.4, 16, 449
2019 Mercedes-Benz Mercedes-AMG GLS, 3.4, 15, 577
2019 BMW X1, 4.5, 25, 228
2019 Mercedes-Benz GLA, 4.3, 26, 208
2019 Mercedes-Benz Mercedes-AMG GLA, 4.3, 25, 375
2020 Porsche Macan, 4.2, 21, 248
2020 Buick Envision, 3.6, 25, 197
2019 Mercedes-Benz GLC Coupe, 4.7, 23, 241
2019 Mercedes-Benz Mercedes-AMG GLC Coupe, 4.7, 18, 503
2019 Audi SQ5, 4.7, 21, 349
2019 Audi Q8, 4.8, 19, 335
2019 BMW X5, 4.8, 22, 335
2019 Audi Q7, 4.7, 21, 333
2019 Acura MDX Sport Hybrid, 4.6, 27, 257
2020 GMC Acadia, 4.1, 21, 230
2019 Mercedes-Benz GLC, 4.6, 25, 201
2019 Toyota Highlander Hybrid, 4.4, 28, 231
2019 Nissan Rogue, 4.3, 34, 141
