Car, Rating, MPG, Horsepower
2020 Volvo XC90, 4.6, 27, 313
2020 Lexus RX, 4.5, 30, 308
2020 Lexus NX, 4.4, 31, 194
2019 Acura MDX Sport Hybrid, 4.6, 27, 257
2019 Mercedes-Benz GLC, 4.6, 25, 201
2019 Toyota Highlander Hybrid, 4.4, 28, 231
2019 Nissan Rogue, 4.3, 34, 141
2020 Honda Accord Hybrid, 4.8, 48, 143
2020 Toyota Prius Prime, 4.7, 54, 96
2020 Toyota Corolla Hybrid, 4.6, 52, 121
2020 Toyota Camry Hybrid, 4.6, 46, 176
2020 Toyota Prius, 4.4, 52, 96
2020 Kia Optima Hybrid, 4.4, 42, 154
2020 Kia Optima Plug-in Hybrid, 4.4, 41, 154
2020 Ford Fusion, 4.1, 42, 141
2019 Honda Clarity Plug-in Hybrid, 4.7, 42, 103
2019 BMW 5 Series, 4.6, 29, 180
2019 Kia Niro Plug-in Hybrid, 4.4, 46, 104
2019 Hyundai Ioniq Plug-in Hybrid, 4.4, 52, 104
2019 Hyundai Sonata Plug-in Hybrid, 4.4, 39, 154
2019 Ford Fusion Energi, 4.1, 42, 141
2019 Volvo S90, 4.1, 29, 313
2019 Volvo XC60, 4.3, 26, 313
2019 Mitsubishi Outlander PHEV, 3.5, 25, 117
