Car, Rating, MPG, Horsepower
2020 Volvo XC40, 4.7, 27, 187
2020 Buick Encore, 3.9, 28, 138
2019 Porsche 718 Boxster, 4.6, 22, 350
2019 BMW 2 Series, 4.5, 22, 335
2019 BMW i3, 4.5, 31, 181
2019 BMW X1, 4.5, 25, 228
2019 INFINITI QX30, 4.4, 27, 208
2019 Audi TT, 4.3, 26, 228
2019 Mercedes-Benz GLA, 4.3, 26, 208
2019 Mercedes-Benz Mercedes-AMG GLA, 4.3, 25, 375
2020 Audi Q5, 4.7, 24, 248
2020 Mercedes-Benz GLC, 4.6, 24, 255
2020 Lexus IS, 4.5, 21, 311
2020 INFINITI QX50, 4.4, 25, 268
2020 Lexus NX, 4.4, 24, 235
2020 Acura ILX, 4.4, 28, 201
2020 BMW X3, 4.4, 27, 248
2020 Porsche Macan, 4.2, 21, 248
2020 Buick Envision, 3.6, 25, 197
2020 Jaguar F-TYPE, 3.5, 26, 296
2020 Mercedes-Benz GLE, 4.8, 22, 255
2020 Mercedes-Benz E-Class, 4.7, 22, 362
2020 Acura MDX, 4.6, 23, 290
2020 Volvo XC90, 4.6, 21, 316
2020 Buick Enclave, 4.5, 21, 310
2020 INFINITI Q50, 4.5, 23, 300
2020 Lexus RX, 4.5, 30, 308
2020 Lexus GS, 4.4, 23, 311
2020 Acura TLX, 4.3, 27, 206
2020 INFINITI QX60, 4.2, 22, 295
2020 Toyota Land Cruiser, 3.2, 14, 381
2019 Genesis G80, 4.4, 21, 311
2019 Acura RLX Sport Hybrid, 4, 28, 310
2019 Acura RLX, 4, 23, 310
2019 Buick LaCrosse, 3.9, 24, 310
2019 Cadillac XTS, 3.8, 22, 304
2019 BMW 6 Series, 3.7, 20, 443
2019 Mercedes-Benz GLS, 3.4, 16, 449
2019 Mercedes-Benz Mercedes-AMG GLS, 3.4, 15, 577
2019 Audi RS 5, 4.8, 20, 444
2019 Audi S5, 4.8, 24, 349
2019 Mercedes-Benz Mercedes-AMG E-Class, 4.7, 21, 429
2019 Mercedes-Benz Mercedes-AMG C-Class, 4.7, 21, 469
2019 Audi SQ5, 4.7, 21, 349
2019 Audi S4, 4.7, 24, 349
2019 BMW M5, 4.6, 17, 600
