ID, Type, Car, MPG, Horsepower, Seats, MSRP, Market Price, Price Range, Image Link
444320, suv, 2020 Volvo XC40 T4 Momentum, 27 MPG, 187, 5, 34695, 31471, $34695 - $43445, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/12737/2019-volvo-xc40-side_12737_001_640x480_711.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
445557, suv, 2020 Subaru Crosstrek Base Style, 25 MPG, 152, 5, 23155, 22157, $23155 - $36155, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/13994/2020-subaru-crosstrek-side_13994_001_640x480_k1x.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
446225, suv, 2020 Honda HR‑V EX-L, 30 MPG, 141, 5, 26690, 25691, $21940 - $30010, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/13589/2019-honda-hr-v-side_13589_001_640x480_wx.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
444083, suv, 2020 Hyundai Kona SEL Plus, 28 MPG, 147, 5, 26470, 25032, $21420 - $30470, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/12686/2018-hyundai-kona-side_12686_001_640x480_p6w.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
445987, suv, 2020 Hyundai Kona Electric Limited, 120 MPGe, 201, 5, 42920, 41507, $38310 - $46520, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/13530/2019-hyundai-kona%20ev-side_13530_001_640x480_p6w.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
446085, suv, 2020 Toyota C‑HR XLE, 29 MPG, 144, 5, 24450, 23005, $22415 - $27470, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/14246/2020-toyota-c-hr-side_14246_001_640x480_1k0.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
446093, suv, 2020 Ford EcoSport SE, 25 MPG, 166, 5, 26045, 24945, $21090 - $28810, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/12570/2018-ford-ecosport-side_12570_001_640x480_za.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
445132, suv, 2020 Buick Encore Essence, 26 MPG, 138, 5, 31795, 30297, $24195 - $31795, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/12950/2019-buick-encore-side_12950_001_640x480_gaz.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
444529, suv, 2020 Chevrolet Trax LS, 26 MPG, 138, 5, 23795, 22417, $22295 - $30095, https://file.kbb.com/kbb/images/icons/no-image-te/640x480.png?interpolation=high-quality&downsize=200:*
445549, suv, 2020 Mitsubishi Outlander Sport SE, 27 MPG, 148, 5, 25825, 23689, $23935 - $28525, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/14067/2020-mitsubishi-outlander%20sport-side_14067_001_640x480_w13.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
